"Title","Link","Desc","Year","Runtime"
"Dui Prithibi (1980)","https://hoichoi.tv/films/title/dui-prithibi-1980","The tale of three siblings, ""Dui Prithibi"" revolves around Mrinal's doubts about his brother’s activities when he suddenly becomes a rich businessman. ","1975",8406
"Dui Prithibi (2010)","https://hoichoi.tv/films/title/dui-prithibi","A rich man falls in love with an idealistic medical student. However, when circumstances force them apart, he learns the true meaning and value of love.","2012",10080
"Dui Purush","https://hoichoi.tv/films/title/dui-purush","""Dui Purush"", revolves around Nutubihari Mukherjee, a freedom fighter who makes many sacrifices and goes to jail and continues to do good even after his release. However, he turns into a corrupt politician when he gets powerful.","1977",7451
"Durgeshgorer Guptodhon","https://hoichoi.tv/films/title/durgeshgorer-guptodhon","Sona Da, along with Abir and Jhinuk, visits his student's ancestral mansion in Durgeshgor. Once there, the trio comes across a vital clue that could lead them to one of the greatest treasures.","2018",7822
"East Bengaler Chhele","https://hoichoi.tv/films/title/east-bengaler-chhele","One of the finest tributes to the game which celebrates football and the glorious days of East Bengal club, the film revolves around a promising footballer supported by his brother","1985",7800
"Ei Mon Tomai Diyechi","https://hoichoi.tv/films/title/ei-mon-tomai-diyechi","Ei Mon Tomai Diyechi is about the love story of Billu, a simpleton, and Swati, the sister of a gangster. Will they unite? ","1985",8643
"Ek Je Chhilo Desh","https://hoichoi.tv/films/title/ek-je-chhilo-desh","""Ek Je Chhilo Desh"" revolves around a scientist who accidentally finds a drug that can reveal an individual's past. However, when a few politicians fear their exposure, they plot to kill him.","1957",6585
"Ek Jhank Ichhe Dana","https://hoichoi.tv/films/title/ek-jhank-ichhe-dana","""Ek Jhanak Icche Dana"" that narrates about the crises and problems of students, as the young adults learn to deal with life. ","2012",6370
"Ek Nodir Galpo","https://hoichoi.tv/films/title/ek-nodir-galpo"," Ek Nodir Golpo narrates the moving experience of a father who makes it his mission to name a river after his dead daughter.","2014",7471
"Ek Poshla Bristi","https://hoichoi.tv/films/title/ek-poshla-bristi","""Ek Poshla Brishti"" revolves around Rahul, a simple man,moves to Mumbai and struggles to fulfil his parent’s dreams and build a happy life. ","1989",7439
"Ekanta Apan","https://hoichoi.tv/films/title/ekanta-apan","""Ekanta Apon"" is a romantic film about the love that blossoms between a student and a local goon. Will fate separate the two? ","1985",8700
"Ekdin Pratidin","https://hoichoi.tv/films/title/ekdin-pratidin","A Bengali film about the beauty of the father-daughter relationship. Can a pained man rename a river after his daughter? Watch the film online on hoichoi.
","2014",5214
"Family Album","https://hoichoi.tv/films/title/family-album","What happens when the dark secrets of a seemingly perfect family of four get revealed ? Watch ""Family Album"" -  a hilarious, sad and eccentric concoction of the truth.","2015",6653
"Fande Poriya Boga Kande Re","https://hoichoi.tv/films/title/fande-poriya-boga-kande-re","A beautiful woman, Mishti, falls in love with Raju, a simple man. However, he faces a predicament when he learns that his father was killed by her uncle and their families share mutual animosity.","2010",9851
"Fidaa","https://hoichoi.tv/films/title/fidaa","Two people who are poles apart, struggle against misunderstandings in their war of ego. Watch ""Fidaa"" - the story of the modern day youth's perception about love.","2017",8789
"Fight 1:1","https://hoichoi.tv/films/title/fight-1-1","The Rohit Group' and 'the Julius Group' compete against each other in all aspects of college life. The only obstruction to their growing enmity is their extremely disciplined college dean.","2011",9264
"Galpa Holeo Satyi (1966)","https://hoichoi.tv/films/title/galpa-holeo-satyi-1966","""Galpa Holeo Satyi "", one of the legendary Tapan Sinha's finest, revolves around Dhanonjoy, a man-servant who joins a dysfunctional family and gets attached to the members, trying to solve their problems and reunite them.","1957",6207
"Ganadevata","https://hoichoi.tv/films/title/ganadevata","A village in Bengal reels under the shock of witnessing a community feeling turn quickly into a mob mentality and the effects it has on the people.","1979",9426
"Gangster","https://hoichoi.tv/films/title/gangster","Star-crossed lovers Guru and Ruhi dream of living a simple life together. However, when Guru's past as a gangster begins to haunt them, their blissful life together starts shattering.","2013",8399
"Generation Aami","https://hoichoi.tv/films/title/generation-aami","""Generation Ami"" revolves around teen cousins Apu and Durga, help each other with their struggles to cope with growing up.","2018",7156
